"Category";"Average Minimum Surface Air Temperature (°C)";"Average Mean Surface Air Temperature (°C)";"Average Maximum Surface Air Temperature (°C)";"Precipitation (mm)"
"Jan";16,65;20,26;23,92;38,75
"Feb";17,65;21,46;25,32;25,05
"Mar";19,75;23,6;27,5;44,18
"Apr";22,09;26,05;30,05;76,09
"May";23,34;27,34;31,39;161,57
"Jun";23,85;27,66;31,52;214,08
"Jul";23,91;27,43;30,99;248,08
"Aug";23,51;27,2;30,93;263,07
"Sep";22,9;26,54;30,23;239,73
"Oct";21,47;25,14;28,86;218,04
"Nov";19,7;23,38;27,11;162,71
"Dec";17,37;21,08;24,85;82,74